id,tweet_id,user_screen_name,user_id,collection,text
1,913025383590543360,billyptx,406686963,tx_secession,FakeNews
2,912686447056113666,billyptx,406686963,tx_secession,RangersForever
3,911047943523848194,billyptx,406686963,tx_secession,TrumpCare
4,907755669213863936,billyptx,406686963,tx_secession,porngate
5,907755669213863936,billyptx,406686963,tx_secession,TedCruzScandal
6,904889097189285892,billyptx,406686963,tx_secession,ACA
7,904473101785849856,billyptx,406686963,tx_secession,daca
8,898938197371215872,billyptx,406686963,tx_secession,MAGA
9,896731601287225344,billyptx,406686963,tx_secession,charlotesville
10,894657079377444864,billyptx,406686963,tx_secession,PurpleHeartDay
11,887671309777330176,billyptx,406686963,tx_secession,MAGA
12,877868971701092352,billyptx,406686963,tx_secession,TrumpCare
13,877650161757040640,billyptx,406686963,tx_secession,Abortion
14,877526727685230592,billyptx,406686963,tx_secession,autocorrect
15,877526727685230592,billyptx,406686963,tx_secession,stinks
16,877280580873965568,billyptx,406686963,tx_secession,MAGA
17,872187613704310785,billyptx,406686963,tx_secession,SpecialSession
18,872137029190115330,billyptx,406686963,tx_secession,KeepTheStreakGoing
19,872137029190115330,billyptx,406686963,tx_secession,MEGA
20,869940784853798912,billyptx,406686963,tx_secession,WeShallOverCovfefe
21,869940784853798912,billyptx,406686963,tx_secession,Covfefe
22,869861936606830592,billyptx,406686963,tx_secession,FakeNews
23,868087559728930816,billyptx,406686963,tx_secession,WillieBJohnson
24,865366185851985924,billyptx,406686963,tx_secession,andHeWasGay
25,864465145552003072,billyptx,406686963,tx_secession,WillieBJohnson
26,858648657461215235,billyptx,406686963,tx_secession,fakenews
27,858641983933427712,billyptx,406686963,tx_secession,fakenews
28,857393819779813376,billyptx,406686963,tx_secession,MakeAmericaGolfAgain
29,856982611239063552,billyptx,406686963,tx_secession,NeverForget
30,856632542128218116,billyptx,406686963,tx_secession,neveragain
31,856470375835848705,billyptx,406686963,tx_secession,IQ70
32,856180102039777281,billyptx,406686963,tx_secession,MAGA
33,854715031476424704,billyptx,406686963,tx_secession,Alzheimer
34,850418806182879236,billyptx,406686963,tx_secession,resist
35,845648007517261824,billyptx,406686963,tx_secession,Fail
36,844283086535741440,billyptx,406686963,tx_secession,NoAgeTax
37,843824150925860865,billyptx,406686963,tx_secession,FakeNews
38,843824150925860865,billyptx,406686963,tx_secession,CutTheCable
39,838097303848144896,billyptx,406686963,tx_secession,MAGA
40,832628217890484225,billyptx,406686963,tx_secession,fakenews
41,832628015955783684,billyptx,406686963,tx_secession,PresidentBannon
42,832628015955783684,billyptx,406686963,tx_secession,fakenews
43,825550657616695296,billyptx,406686963,tx_secession,NoBanNoWall
44,819878327330734080,billyptx,406686963,tx_secession,TrumpCare
45,819713203366199296,billyptx,406686963,tx_secession,TrumpCare
46,819712904081670148,billyptx,406686963,tx_secession,TrumpCare
47,788935703488962560,billyptx,406686963,tx_secession,ivoted
48,788935703488962560,billyptx,406686963,tx_secession,NBC4You
49,788935703488962560,billyptx,406686963,tx_secession,ipickedClinton
50,780575739552804865,billyptx,406686963,tx_secession,TrumpedUpTrickleDown
51,762616538465570816,billyptx,406686963,tx_secession,Zika
52,759374543697813505,billyptx,406686963,tx_secession,JumpIn
53,737033670188359680,billyptx,406686963,tx_secession,ShowGirlJonathan
54,737033670188359680,billyptx,406686963,tx_secession,BroVsBro
55,715907010017894401,billyptx,406686963,tx_secession,RangersSuiteSeats
56,713705329511374848,billyptx,406686963,tx_secession,KidDribble
57,713705329511374848,billyptx,406686963,tx_secession,AcuraTourney
58,712602473807028224,billyptx,406686963,tx_secession,nuttyIdea
59,670009891407327232,billyptx,406686963,tx_secession,DougFree
60,670006315331158016,billyptx,406686963,tx_secession,DougFree
61,664391543654998016,billyptx,406686963,tx_secession,WarOnChristmas
62,664391543654998016,billyptx,406686963,tx_secession,StarbucksCups
63,641768943359660032,billyptx,406686963,tx_secession,bb17
64,614450102862680064,billyptx,406686963,tx_secession,lovewins
65,576766411206303744,billyptx,406686963,tx_secession,HappyPiDay
66,560439416477745153,billyptx,406686963,tx_secession,MarshawnLynch
67,508595315076001792,billyptx,406686963,tx_secession,ExplainAFilmPlotBadly
68,477957662915567616,billyptx,406686963,tx_secession,USOpen
69,439160458189496320,billyptx,406686963,tx_secession,pandhandlers
70,438998164066938880,billyptx,406686963,tx_secession,twittertypo
71,422514602455228416,billyptx,406686963,tx_secession,cowboys
72,418713291557318656,billyptx,406686963,tx_secession,NotAGoodStart
73,334798615585386497,billyptx,406686963,tx_secession,fitchthehomeless
74,331484616571645952,billyptx,406686963,tx_secession,firstworldpains
75,306956688769036289,billyptx,406686963,tx_secession,Carrollton
76,306509882788552705,billyptx,406686963,tx_secession,ClassicJokeTuesday
77,305140251406512129,billyptx,406686963,tx_secession,PoliceWomen
78,301420008888741890,billyptx,406686963,tx_secession,ChrisKyle
79,301409803622825984,billyptx,406686963,tx_secession,ChrisKyle
80,301374875182972928,billyptx,406686963,tx_secession,ChrisKyle
81,301374676691714048,billyptx,406686963,tx_secession,ChrisKyle
82,301294991706304513,billyptx,406686963,tx_secession,ChrisKyle
83,299689355746869248,billyptx,406686963,tx_secession,punchDrunk
84,299689355746869248,billyptx,406686963,tx_secession,willAnswerAnyQuestion
85,299688608724578304,billyptx,406686963,tx_secession,SoundCloud
86,299688608724578304,billyptx,406686963,tx_secession,dogskilledone
87,298218981662273537,billyptx,406686963,tx_secession,womensaythedarndestthingsaboutsports
88,294072944542498817,billyptx,406686963,tx_secession,ratliff
89,294072944542498817,billyptx,406686963,tx_secession,brent
